input_id,object_id,sequence_id,frame_id,rgb_path,depth_path,mass_crop_path,friction_context_path,mass_qc_status,friction_qc_status,warning_reason,selection_rule_version,input_sha256
000005_000010,019_pitcher_base,test_sliding/000005,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000005/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000005/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000005_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000005_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,4ca70d7ca5e960f269ac685e6c5496707c0d1bca621004874a4a21389e7ff22e
000005_000040,019_pitcher_base,test_sliding/000005,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000005/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000005/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000005_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000005_000040.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,b21ed042c35d00fbd616236bfc7a80fbbfc85daf3a8fb5780d0c2655ae26ef66
000006_000010,006_mustard_bottle,test_sliding/000006,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000006/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000006/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000006_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000006_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,f04aab8406994073dc7e87a4f2bbd9b66c6c24ff80ef11f73a2627ce6319f63d
000006_000040,006_mustard_bottle,test_sliding/000006,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000006/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000006/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000006_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000006_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,9a97d40b4a3b70f9d45e54513c5f53bb4aa652916d92f43a84a2fb4978b465fb
000007_000010,021_bleach_cleanser,test_sliding/000007,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000007/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000007/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000007_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000007_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,9e3c0ba865567a9e0e6b87ab22405ef40e4aba15f354eeeacbc472c1aa00ffff
000007_000040,021_bleach_cleanser,test_sliding/000007,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000007/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000007/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000007_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000007_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,2a8fc3b2b11294a600cdd2578943f261e14ddd247602ef95e74afc6379cda1af
000008_000010,003_cracker_box,test_sliding/000008,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000008/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000008/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000008_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000008_000010.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,096faa7e41714ddc86930c4a37ddef56ead5e346adc35dce9c7ad846405e08f8
000008_000040,003_cracker_box,test_sliding/000008,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000008/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000008/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000008_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000008_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,151c7dd3c42704c79c507afdd0f1c7b387515c22f5e920a46abdf25437e2ed76
000009_000010,025_mug,test_sliding/000009,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000009/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000009/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000009_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000009_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,a1faa0e33e373b67764ae99e9fa42bfd4f3b6bb94eee517cc81561ab5a501d66
000009_000040,025_mug,test_sliding/000009,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000009/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000009/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000009_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000009_000040.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,923628084e3f63e68e7187c0c274b5de15d8ef9f0448d3959d90ff643035fc3a
000010_000010,019_pitcher_base,test_sliding/000010,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000010/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000010/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000010_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000010_000010.png,WARNING,APPROVED,robot fragment in mass mask,static_real5_v1_20260914,2219d10a96c0bdaa55e7dfdfc57ecb26e33f587936d248c0472f7bf6a3022f71
000010_000040,019_pitcher_base,test_sliding/000010,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000010/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000010/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000010_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000010_000040.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,a3186b462e3a03db0be7db85a04174bbafa6178bbb42042d7c53565f790a2e07
000011_000010,006_mustard_bottle,test_sliding/000011,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000011/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000011/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000011_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000011_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,902e20829325b20232478783c68264c61ca90c31e53aaf1e30b4f9970dea30a5
000011_000040,006_mustard_bottle,test_sliding/000011,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000011/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000011/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000011_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000011_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,bd24a433e09098ff8a32841bdfb5841fcb4762486bd1b43c98f4b6f648a7fdb0
000012_000010,021_bleach_cleanser,test_sliding/000012,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000012/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000012/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000012_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000012_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,2e61e126917394248a68d4e4ee53c1e71f2d0222499bc60fe6379b58b1787cdc
000012_000040,021_bleach_cleanser,test_sliding/000012,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000012/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000012/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000012_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000012_000040.png,WARNING,APPROVED,minor table fragment in mass mask,static_real5_v1_20260914,d38539fa93c54d04d850721dd56b0d075b7c65fc4a362353889c77a39be1a0b6
000013_000010,003_cracker_box,test_sliding/000013,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000013/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000013/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000013_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000013_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,c0690f2d4009bec987c1841170b845be8afe5996456d8eb60580b9fd30100923
000013_000040,003_cracker_box,test_sliding/000013,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000013/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000013/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000013_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000013_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,ed9d0b9c91f33874aba418ff171dbcf627ccbf29fc436b890b26b9ac1e5c4d01
000014_000010,025_mug,test_sliding/000014,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000014/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000014/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000014_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000014_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,a356d8d6563bc6ee7a122c65fc666a60a3450261c146af2af2c7335f36298dc6
000014_000040,025_mug,test_sliding/000014,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000014/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000014/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000014_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000014_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,70ec8dcbac73eceb1a3974e6c07d20b1d352650cda85e3c5527982143151090b
000015_000010,019_pitcher_base,test_sliding/000015,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000015/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000015/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000015_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000015_000010.png,WARNING,APPROVED,minor table fragment in mass mask,static_real5_v1_20260914,00e680c3616040b4cc011c05bb63950588ac795c0b17fc7a104c1d15d4276f4c
000015_000040,019_pitcher_base,test_sliding/000015,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000015/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000015/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000015_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000015_000040.png,WARNING,APPROVED,visible table streak in mass mask; object remains identifiable,static_real5_v1_20260914,f8d7787e530d1030c2e60559e1253a5c209335dfd57cded805a62b13cef7f463
000016_000010,006_mustard_bottle,test_sliding/000016,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000016/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000016/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000016_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000016_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,65bfeb1370ea6fe0ef1af2a13fab36864a9025de2eb9defdb6d15e8d7066f55e
000016_000040,006_mustard_bottle,test_sliding/000016,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000016/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000016/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000016_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000016_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,6327819ce4d1755774c866b7b88f1282da5d25df98532088a33ee2295188b1df
000017_000010,021_bleach_cleanser,test_sliding/000017,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000017/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000017/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000017_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000017_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,c0435621c78269f5a390cafffa59589ec050666ec2b67ecc39c20d9cd10772e5
000017_000035,021_bleach_cleanser,test_sliding/000017,35,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000017/rgb/000035.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000017/depth/000035.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000017_000035.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000017_000035.png,WARNING,WARNING,weak background/mask contamination; visual review required,static_real5_v1_20260914,2796595064d6920b940fbc34fab3d672ebc0cecee20d1129864449d1fb09fa0b
000018_000010,003_cracker_box,test_sliding/000018,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000018/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000018/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000018_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000018_000010.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,c769f7bdb794e6c50e2120296b888b1accd379fdcdd91357f2b8a7bcc707df75
000018_000040,003_cracker_box,test_sliding/000018,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000018/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000018/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000018_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000018_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,5dee3057dac6f3244326bdc7baf277ad75a64f7fc3fdd692d87b606ed1f17f67
000019_000010,025_mug,test_sliding/000019,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000019/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000019/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000019_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000019_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,2b32ef30462c58d32bfc98e60de98069fab4e015ec860212fbcdd6a6e111bcdd
000019_000040,025_mug,test_sliding/000019,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000019/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000019/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000019_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000019_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,4f41dc947a57a0ee67233ddd404b171abb9cceaf6219877e63aee53b1e1dc9f5
000020_000010,019_pitcher_base,test_sliding/000020,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000020/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000020/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000020_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000020_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,09693b6eafaf207eae3080d25c79a7dd0063d073811d6502d891c6b714c44411
000020_000040,019_pitcher_base,test_sliding/000020,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000020/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000020/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000020_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000020_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,7a05f30354b3d01e52c8d475963b6a7c9dd06d208ea298128e17c4665bd86219
000021_000010,006_mustard_bottle,test_sliding/000021,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000021/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000021/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000021_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000021_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,e2317ed478dac2fe575de8b60998068eb63ef4006aba6fb7ecb28e043ffd3b62
000021_000040,006_mustard_bottle,test_sliding/000021,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000021/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000021/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000021_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000021_000040.png,WARNING,APPROVED,minor background fragment in mass mask,static_real5_v1_20260914,612ba0bacc3208360ff218bb3b32112b5243b12bb47fa2b3e51684c4a06b2364
000022_000010,021_bleach_cleanser,test_sliding/000022,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000022/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000022/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000022_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000022_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,9e4265347e995da44939cffdec4325ebab6a71c6b0fae698648576076f2a6097
000022_000040,021_bleach_cleanser,test_sliding/000022,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000022/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000022/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000022_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000022_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,c5468a2ca29aaa2d5bb0f02344d2c259e372f3924e7ded97f2470f50cf535316
000023_000010,003_cracker_box,test_sliding/000023,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000023/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000023/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000023_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000023_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,0af95ebcb400e43384b944f03446faf46ca47993d0537b5b4989a69692a799aa
000023_000040,003_cracker_box,test_sliding/000023,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000023/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000023/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000023_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000023_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,e6926ddc897aaf229c5f3d6647f2f9eee64c1800ffc03446e9617b1b9366cf81
000024_000010,025_mug,test_sliding/000024,10,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000024/rgb/000010.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000024/depth/000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000024_000010.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000024_000010.png,APPROVED,APPROVED,,static_real5_v1_20260914,ae2aac0cf4a95cfcc477f4e082f7ab86315f71cf5b472d0d6b9402003151d0b0
000024_000040,025_mug,test_sliding/000024,40,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000024/rgb/000040.png,data/external/kandukuri_ev_realphys/ev-realphys/test_sliding/000024/depth/000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/mass/000024_000040.png,output/c4_table3/20260914T062054Z_static_real5_prep/inputs/friction/000024_000040.png,APPROVED,APPROVED,,static_real5_v1_20260914,0186fa22b390a62d5a6ba8d3f4c8b068e66af252cf7af5c4d2d52122f93b3dae
